WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,BTM_File,TFK_File
AANBD204TED2,0.0,-3.6,3394.0,0.0067,-3.6622,3395.350098,0.06255981138078963,-1.350097999999889,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,19.3,-19.3,3385.0,19.3019,-19.3019,3385.159912,0.0026870057685076426,-0.15991200000007666,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,19.3,19.3,3387.0,19.3019,19.3019,3389.01001,0.0026870057685076426,-2.0100099999999657,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-47.5,-36.4,3376.0,-47.4578,-36.4348,3378.080078,0.054698080405078064,-2.0800779999999577,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-57.9,19.3,3379.0,-57.9062,19.3019,3381.01001,0.0064845971347489055,-2.0100099999999657,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-19.3,-57.9,3377.0,-19.3019,-57.9062,3379.040039,0.0064845971347489055,-2.040038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-19.3,57.9,3378.0,-19.3019,57.9062,3381.280029,0.0064845971347489055,-3.280029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,71.2,-3.6,3375.0,71.2039,-3.6622,3376.649902,0.062322146946330315,-1.649902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,57.9,57.9,3374.0,57.9062,57.9062,3377.790039,0.00876812408671285,-3.790038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-71.2,61.9,3373.0,-71.1902,61.8829,3376.830078,0.01970913493788968,-3.8300779999999577,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,19.3,-96.5,3373.0,19.3019,-96.51,3374.629883,0.010178899744083295,-1.6298830000000635,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,19.3,96.5,3376.0,19.3019,96.51,3377.810059,0.010178899744083295,-1.8100589999999102,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,96.5,19.3,3374.0,96.51,19.3019,3376.47998,0.010178899744083295,-2.4799800000000687,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,71.2,-69.2,3373.0,71.2039,-69.2075,3374.98999,0.008453401682157895,-1.9899900000000343,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-96.5,-57.9,3371.0,-96.51,-57.9062,3373.75,0.011766052864070403,-2.75,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-57.9,-96.5,3370.0,-57.9062,-96.51,3373.530029,0.011766052864070403,-3.530029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-57.9,96.5,3372.0,-57.9062,96.51,3374.139893,0.011766052864070403,-2.139893000000029,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,94.9,61.8,3372.0,94.9361,61.8829,3376.709961,0.09041913514295342,-4.709961000000021,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-118.6,-3.6,3370.0,-118.655,-3.6622,3372.600098,0.08302915150717083,-2.600097999999889,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,0.0,127.4,3371.0,0.0067,127.428,3372.800049,0.028790449805439457,-1.8000489999999445,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,0.0,-134.7,3363.0,0.0067,-134.7529999,3368.120117,0.05342171281427001,-5.1201169999999365,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-96.5,96.5,3366.0,-96.51,96.51,3369.72998,0.014142135623738184,-3.7299800000000687,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,96.5,-96.5,3364.0,96.51,-96.51,3368.159912,0.014142135623738184,-4.159912000000077,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,136.2,19.3,3365.0,136.2,19.3019,3368.070068,0.0018999999999991246,-3.070067999999992,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,71.2,127.4,3366.0,71.2039,127.428,3369.330078,0.028270302439124012,-3.3300779999999577,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,141.9,-35.9,3364.0,142.401,-36.4348,3369.25,0.7328110534100923,-5.25,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-135.7,-57.4,3369.0,-136.2,-57.9062,3384.969971,0.7115043499515654,-15.969970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-135.7,57.4,3369.0,-136.2,57.9062,3386.929932,0.7115043499515654,-17.929932000000008,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-57.4,-135.7,3368.0,-57.9062,-136.2,3385.540039,0.7115043499515654,-17.54003899999998,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-57.4,135.7,3370.0,-57.9062,136.2,3386.840088,0.7115043499515654,-16.840087999999923,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,57.4,-135.7,3368.0,57.9062,-136.2,3384.699951,0.7115043499515654,-16.699951000000056,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,135.7,57.4,3371.0,136.2,57.9062,3384.159912,0.7115043499515654,-13.159912000000077,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,0.0,-3.6,3391.0,0.0067,-3.6622,3391.570068,0.06255981138078963,-0.570067999999992,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,19.3,-19.3,3386.0,19.3019,-19.3019,3388.5,0.0026870057685076426,-2.5,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,19.3,19.3,3389.0,19.3019,19.3019,3390.620117,0.0026870057685076426,-1.6201169999999365,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-47.5,-36.4,3381.0,-47.4578,-36.4348,3383.899902,0.054698080405078064,-2.899902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.9,19.3,3383.0,-57.9062,19.3019,3385.870117,0.0064845971347489055,-2.8701169999999365,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-19.3,-57.9,3380.0,-19.3019,-57.9062,3382.060059,0.0064845971347489055,-2.06005899999991,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-19.3,57.9,3382.0,-19.3019,57.9062,3385.290039,0.0064845971347489055,-3.290038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,71.2,-3.6,3377.0,71.2039,-3.6622,3380.01001,0.062322146946330315,-3.0100099999999657,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,57.9,57.9,3378.0,57.9062,57.9062,3380.070068,0.00876812408671285,-2.070067999999992,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-71.2,61.9,3377.0,-71.1902,61.8829,3379.219971,0.01970913493788968,-2.219970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,19.3,-96.5,3373.0,19.3019,-96.51,3375.47998,0.010178899744083295,-2.4799800000000687,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,19.3,96.5,3377.0,19.3019,96.51,3379.870117,0.010178899744083295,-2.8701169999999365,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,96.5,19.3,3376.0,96.51,19.3019,3378.429932,0.010178899744083295,-2.429932000000008,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,71.2,-69.2,3373.0,71.2039,-69.2075,3375.969971,0.008453401682157895,-2.969970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-96.5,-57.9,3373.0,-96.51,-57.9062,3375.850098,0.011766052864070403,-2.850097999999889,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.9,-96.5,3373.0,-57.9062,-96.51,3375.310059,0.011766052864070403,-2.31005899999991,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.9,96.5,3376.0,-57.9062,96.51,3378.209961,0.011766052864070403,-2.209961000000021,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,94.9,61.8,3373.0,94.9361,61.8829,3375.169922,0.09041913514295342,-2.1699220000000423,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-118.6,-3.6,3372.0,-118.655,-3.6622,3374.850098,0.08302915150717083,-2.850097999999889,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,0.0,127.4,3373.0,0.0067,127.428,3375.399902,0.028790449805439457,-2.399902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,0.0,-134.7,3364.0,0.0067,-134.7529999,3366.77002,0.05342171281427001,-2.7700199999999313,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-96.5,96.5,3370.0,-96.51,96.51,3373.030029,0.014142135623738184,-3.030029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,96.5,-96.5,3365.0,96.51,-96.51,3367.179932,0.014142135623738184,-2.179932000000008,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,136.2,19.3,3364.0,136.2,19.3019,3366.72998,0.0018999999999991246,-2.7299800000000687,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,71.2,127.4,3365.0,71.2039,127.428,3367.090088,0.028270302439124012,-2.0900879999999233,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,141.9,-35.9,3365.0,142.401,-36.4348,3371.199951,0.7328110534100923,-6.1999510000000555,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-135.7,-57.4,3371.0,-136.2,-57.9062,3389.080078,0.7115043499515654,-18.080077999999958,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-135.7,57.4,3371.0,-136.2,57.9062,3389.780029,0.7115043499515654,-18.780029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.4,-135.7,3371.0,-57.9062,-136.2,3389.610107,0.7115043499515654,-18.61010699999997,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,-57.4,135.7,3372.0,-57.9062,136.2,3388.149902,0.7115043499515654,-16.14990200000011,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,57.4,-135.7,3370.0,57.9062,-136.2,3389.620117,0.7115043499515654,-19.620116999999937,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD183TEG3,135.7,57.4,3371.0,136.2,57.9062,3387.659912,0.7115043499515654,-16.659912000000077,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD202TEC1,0.0,-3.6,3369.0,0.0067,-3.6622,3380.530029,0.06255981138078963,-11.530029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,-19.3,3371.0,19.3019,-19.3019,3383.939941,0.0026870057685076426,-12.93994100000009,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,19.3,3371.0,19.3019,19.3019,3383.320068,0.0026870057685076426,-12.320067999999992,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-47.5,-36.4,3370.0,-47.4578,-36.4348,3381.73999,0.054698080405078064,-11.739990000000034,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.9,19.3,3369.0,-57.9062,19.3019,3381.219971,0.0064845971347489055,-12.219970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-19.3,-57.9,3371.0,-19.3019,-57.9062,3382.290039,0.0064845971347489055,-11.290038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-19.3,57.9,3369.0,-19.3019,57.9062,3380.459961,0.0064845971347489055,-11.459961000000021,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,71.2,-3.6,3367.0,71.2039,-3.6622,3379.280029,0.062322146946330315,-12.280029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,57.9,57.9,3366.0,57.9062,57.9062,3375.800049,0.00876812408671285,-9.800048999999944,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-71.2,61.9,3364.0,-71.1902,61.8829,3373.149902,0.01970913493788968,-9.149902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,-96.5,3366.0,19.3019,-96.51,3377.149902,0.010178899744083295,-11.149902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,96.5,3364.0,19.3019,96.51,3374.780029,0.010178899744083295,-10.780029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,96.5,19.3,3366.0,96.51,19.3019,3377.51001,0.010178899744083295,-11.510009999999966,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,71.2,-69.2,3368.0,71.2039,-69.2075,3379.879883,0.008453401682157895,-11.879883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-96.5,-57.9,3362.0,-96.51,-57.9062,3372.449951,0.011766052864070403,-10.449951000000056,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.9,-96.5,3362.0,-57.9062,-96.51,3373.629883,0.011766052864070403,-11.629883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.9,96.5,3361.0,-57.9062,96.51,3373.379883,0.011766052864070403,-12.379883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,94.9,61.8,3364.0,94.9361,61.8829,3373.72998,0.09041913514295342,-9.729980000000069,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-118.6,-3.6,3359.0,-118.655,-3.6622,3371.580078,0.08302915150717083,-12.580077999999958,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,0.0,127.4,3358.0,0.0067,127.428,3368.719971,0.028790449805439457,-10.719970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
