X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,-47.06,7.3,47.06,8.0,3338.98,3386.04
-135.0,57.0,DMT-TFK,-49.15,7.78,49.15,8.0,3339.26,3388.41
-120.0,-3.0,DMT-TFK,-25.81,5.06,25.81,8.0,3344.22,3370.03
-96.0,-57.0,DMT-TFK,-25.47,4.61,25.47,8.0,3346.16,3371.63
-96.0,96.0,DMT-TFK,-24.8,3.42,24.8,8.0,3340.83,3365.62
-72.0,63.0,DMT-TFK,-24.98,4.78,24.98,8.0,3349.16,3374.15
-57.0,-135.0,DMT-TFK,-46.47,4.85,46.47,8.0,3340.04,3386.5
-57.0,-96.0,DMT-TFK,-24.95,3.95,24.95,8.0,3346.11,3371.06
-57.0,18.0,DMT-TFK,-25.78,4.77,25.78,8.0,3353.33,3379.11
-57.0,96.0,DMT-TFK,-25.65,4.3,25.65,8.0,3347.43,3373.08
-57.0,135.0,DMT-TFK,-47.78,8.25,47.78,8.0,3340.2,3387.98
-48.0,-36.0,DMT-TFK,-25.95,4.52,25.95,8.0,3353.05,3379.0
-18.0,-57.0,DMT-TFK,-25.49,4.9,25.49,8.0,3352.67,3378.16
-18.0,57.0,DMT-TFK,-25.96,4.19,25.96,8.0,3353.62,3379.59
0.0,-135.0,DMT-TFK,-26.13,4.38,26.13,8.0,3338.88,3365.02
0.0,0.0,DMT-TFK,-23.58,6.0,23.58,8.0,3362.46,3386.04
0.0,126.0,DMT-TFK,-24.72,4.98,24.72,8.0,3344.92,3369.64
18.0,-96.0,DMT-TFK,-25.05,4.69,25.05,8.0,3347.39,3372.44
18.0,-21.0,DMT-TFK,-26.33,4.69,26.33,8.0,3356.47,3382.8
18.0,18.0,DMT-TFK,-25.89,5.15,25.89,8.0,3358.08,3383.97
18.0,96.0,DMT-TFK,-24.66,4.64,24.66,8.0,3350.37,3375.03
57.0,-135.0,DMT-TFK,-44.03,4.18,44.03,8.0,3342.12,3386.15
57.0,57.0,DMT-TFK,-25.92,4.52,25.92,8.0,3349.8,3375.72
72.0,-69.0,DMT-TFK,-25.5,4.07,25.5,8.0,3347.89,3373.39
72.0,-3.0,DMT-TFK,-25.01,4.0,25.01,8.0,3350.49,3375.5
72.0,126.0,DMT-TFK,-27.05,4.48,27.05,8.0,3337.43,3364.48
96.0,-96.0,DMT-TFK,-24.48,3.76,24.48,8.0,3340.11,3364.59
96.0,18.0,DMT-TFK,-24.71,4.5,24.71,8.0,3348.85,3373.55
96.0,63.0,DMT-TFK,-25.29,3.34,25.29,8.0,3346.88,3372.18
135.0,18.0,DMT-TFK,-25.15,4.75,25.15,8.0,3339.68,3364.83
141.0,-36.0,DMT-TFK,-30.51,4.98,30.51,8.0,3338.84,3369.35
-135.7,-57.4,BTM-DMT,25.02,2.33,25.02,8.0,3364.0,3338.98
-135.7,57.4,BTM-DMT,24.86,1.82,24.86,8.0,3364.12,3339.26
-118.6,-3.6,BTM-DMT,18.91,1.07,18.91,8.0,3363.12,3344.22
-96.5,-57.9,BTM-DMT,18.22,1.35,18.22,8.0,3364.38,3346.16
-96.5,96.5,BTM-DMT,17.8,0.9,17.8,8.0,3358.62,3340.83
-71.2,61.9,BTM-DMT,17.96,1.24,17.96,8.0,3367.12,3349.16
-57.9,-96.5,BTM-DMT,17.89,1.21,17.89,8.0,3364.0,3346.11
-57.9,19.3,BTM-DMT,18.8,1.37,18.8,8.0,3372.12,3353.33
-57.9,96.5,BTM-DMT,18.07,1.38,18.07,8.0,3365.5,3347.43
-57.4,-135.7,BTM-DMT,23.96,1.81,23.96,8.0,3364.0,3340.04
-57.4,135.7,BTM-DMT,24.3,2.04,24.3,8.0,3364.5,3340.2
-47.5,-36.4,BTM-DMT,18.82,1.44,18.82,8.0,3371.88,3353.05
-19.3,-57.9,BTM-DMT,18.46,1.01,18.46,8.0,3371.12,3352.67
-19.3,57.9,BTM-DMT,18.38,0.93,18.38,8.0,3372.0,3353.62
0.0,-134.7,BTM-DMT,18.24,0.49,18.24,8.0,3357.12,3338.88
0.0,-3.6,BTM-DMT,16.92,3.42,16.92,8.0,3379.38,3362.46
0.0,127.4,BTM-DMT,17.95,1.78,17.95,8.0,3362.88,3344.92
19.3,-96.5,BTM-DMT,18.49,1.58,18.49,8.0,3365.88,3347.39
19.3,-19.3,BTM-DMT,19.65,1.28,19.65,8.0,3376.12,3356.47
19.3,19.3,BTM-DMT,19.42,0.87,19.42,8.0,3377.5,3358.08
19.3,96.5,BTM-DMT,18.13,1.01,18.13,8.0,3368.5,3350.37
57.4,-135.7,BTM-DMT,21.88,1.47,21.88,8.0,3364.0,3342.12
57.9,57.9,BTM-DMT,19.08,0.67,19.08,8.0,3368.88,3349.8
71.2,-69.2,BTM-DMT,18.86,1.0,18.86,8.0,3366.75,3347.89
71.2,-3.6,BTM-DMT,18.38,1.19,18.38,8.0,3368.88,3350.49
71.2,127.4,BTM-DMT,20.44,1.38,20.44,8.0,3357.88,3337.43
94.9,61.8,BTM-DMT,18.74,1.16,18.74,8.0,3365.62,3346.88
96.5,-96.5,BTM-DMT,17.76,1.63,17.76,8.0,3357.88,3340.11
96.5,19.3,BTM-DMT,18.28,1.58,18.28,8.0,3367.12,3348.85
136.2,19.3,BTM-DMT,18.45,1.43,18.45,8.0,3358.12,3339.68
141.9,-35.9,BTM-DMT,19.53,0.85,19.53,8.0,3358.38,3338.84
-136.2,-57.9,BTM-TFK,-3.16,5.72,3.16,8.0,3382.88,3386.04
-136.2,57.9,BTM-TFK,-4.41,7.28,4.41,8.0,3384.0,3388.41
-118.6,-3.6,BTM-TFK,-4.53,7.53,4.53,8.0,3365.5,3370.03
-96.5,-57.9,BTM-TFK,-4.38,6.99,4.38,8.0,3367.25,3371.63
-96.5,96.5,BTM-TFK,-5.5,7.89,5.5,8.0,3360.12,3365.62
-71.2,61.9,BTM-TFK,-4.15,6.81,4.15,8.0,3370.0,3374.15
-57.9,-136.2,BTM-TFK,-3.5,5.09,3.5,8.0,3383.0,3386.5
-57.9,-96.5,BTM-TFK,-3.81,7.2,3.81,8.0,3367.25,3371.06
-57.9,19.3,BTM-TFK,-3.36,6.09,3.36,8.0,3375.75,3379.11
-57.9,96.5,BTM-TFK,-5.08,7.83,5.08,8.0,3368.0,3373.08
-57.9,136.2,BTM-TFK,-5.23,7.12,5.23,8.0,3382.75,3387.98
-47.5,-36.4,BTM-TFK,-3.25,6.49,3.25,8.0,3375.75,3379.0
-19.3,-57.9,BTM-TFK,-3.29,6.2,3.29,8.0,3374.88,3378.16
-19.3,57.9,BTM-TFK,-3.96,6.6,3.96,8.0,3375.62,3379.59
0.0,-134.7,BTM-TFK,-5.64,7.25,5.64,8.0,3359.38,3365.02
0.0,-3.6,BTM-TFK,-3.41,7.23,3.41,8.0,3382.62,3386.04
0.0,127.4,BTM-TFK,-5.26,8.52,5.26,8.0,3364.38,3369.64
19.3,-96.5,BTM-TFK,-3.32,6.98,3.32,8.0,3369.12,3372.44
19.3,-19.3,BTM-TFK,-3.05,6.83,3.05,8.0,3379.75,3382.8
19.3,19.3,BTM-TFK,-2.72,6.6,2.72,8.0,3381.25,3383.97
19.3,96.5,BTM-TFK,-4.03,7.14,4.03,8.0,3371.0,3375.03
57.9,-136.2,BTM-TFK,-2.52,5.64,2.52,8.0,3383.62,3386.15
57.9,57.9,BTM-TFK,-4.09,6.64,4.09,8.0,3371.62,3375.72
71.2,-69.2,BTM-TFK,-3.51,6.47,3.51,8.0,3369.88,3373.39
71.2,-3.6,BTM-TFK,-3.5,6.33,3.5,8.0,3372.0,3375.5
71.2,127.4,BTM-TFK,-5.73,8.6,5.73,8.0,3358.75,3364.48
94.9,61.8,BTM-TFK,-4.18,6.1,4.18,8.0,3368.0,3372.18
96.5,-96.5,BTM-TFK,-5.34,8.04,5.34,8.0,3359.25,3364.59
96.5,19.3,BTM-TFK,-3.68,6.84,3.68,8.0,3369.88,3373.55
136.2,19.3,BTM-TFK,-5.33,8.73,5.33,8.0,3359.5,3364.83
136.2,57.9,BTM-TFK,-2.94,7.17,2.94,8.0,3384.12,3387.06
141.9,-35.9,BTM-TFK,-9.1,8.96,9.1,8.0,3360.25,3369.35
